Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate13_Gal.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-01 16:46:50 PM EDT,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
H3,Pdam_392_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.7410755157,27.4579105377,0.4004557431,,,,0,0.01,1,3,27,,N,N,N,N,N,N
H4,Pdam_401_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.7118358612,23.978427887,0.3770167232,,,,0,0.01,1,3,22,,N,N,N,N,N,N
H5,Pdam_407_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2332401276,21.0793685913,0.217605859,,,,0,0.01,1,3,20,,N,N,N,N,N,N
H6,Pdam_408_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5173053741,21.7879486084,0.3827473223,,,,0,0.01,1,3,20,,N,N,N,N,N,N
H8,Pdam_413_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.8113937378,25.3785476685,0.6121354103,,,,0,0.01,1,3,25,,Y,N,N,N,N,N
H9,Pdam_415_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.9505901337,21.6828536987,0.3786378503,,,,0,0.01,1,3,21,,N,N,N,N,N,N
H10,Pdam_419_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.4998817444,22.3035316467,0.2776796222,,,,0,0.01,1,3,21,,N,N,N,N,N,N
H11,Pdam_420_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.1374645233,23.8277053833,0.4380655885,,,,0,0.01,1,3,23,,N,N,N,N,N,N
H12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,N,N,Y
H12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,N,N,Y
