Colony,Year.2,C.SH,D.SH,tot.SH,logTot.SH,D.Prp,,logC.SH,logD.SH,Year,Sample,Reef,Spp,Depht,Community,DominantCommunity,D14.D.Prp,D14Community,D14Dominant,D16.D.Prp,D16Community,D16Dominant,ITS2_14,ORF,ORFCommunity,ORFCommunity2,DominantITS2
275-1,2015,0,0.025501369313901,0.025501369313901,-1.5934364991933,1,100.0,NA,-1.5934364991933,15,15_275-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
275-1,2016,0,0.0197336626823,0.0197336626823,-1.7047922996904,1,100.0,NA,-1.7047922996904,16,16_275-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
298-1,2014,0.000401016841116,0.024198359445898,0.024599376287013,-1.60907590421948,0.983698089071984,98.4,-3.39683738835235,-1.61621407648838,14,14_298-1,Coral Collection Point,P.ele,29,Mixed,Durusdinium-dominated,0.983698089071984,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
298-1,2015,0,0.060928165056971,0.060928165056971,-1.21518190110796,1,100.0,NA,-1.21518190110796,15,15_298-1,Coral Collection Point,P.ele,29,Durusdinium-only,Durusdinium-dominated,0.983698089071984,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
298-1,2016,0,0.055696253778297,0.055696253778297,-1.2541740152056,1,100.0,NA,-1.2541740152056,16,16_298-1,Coral Collection Point,P.ele,29,Durusdinium-only,Durusdinium-dominated,0.983698089071984,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
329-1,2014,0,0.032299318992828,0.032299318992828,-1.49080663434923,1,100.0,NA,-1.49080663434923,14,14_329-1,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
329-1,2015,0,0.056561671155095,0.056561671155095,-1.24747776748,1,100.0,NA,-1.24747776748,15,15_329-1,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
329-1,2016,0,0.13301314191136,0.13301314191136,-0.876105447922966,1,100.0,NA,-0.876105447922966,16,16_329-1,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
330-1,2014,0.003623419765362,0,0.003623419765362,-2.4408813509723,0,0.0,-2.4408813509723,NA,14,14_330-1,Shallow Millepora ,P.dam,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
330-1,2015,0.003725684353946,0,0.003725684353946,-2.4287939420179,0,0.0,-2.4287939420179,NA,15,15_330-1,Shallow Millepora ,P.dam,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
330-1,2016,0.003606980498147,0,0.003606980498147,-2.44285620577427,0,0.0,-2.44285620577427,NA,16,16_330-1,Shallow Millepora ,P.dam,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
334-1,2014,0,0.03157876701395,0.03157876701395,-1.50060483092973,1,100.0,NA,-1.50060483092973,14,14_334-1,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
334-1,2015,0,0.018967641989898,0.018967641989898,-1.72198665616606,1,100.0,NA,-1.72198665616606,15,15_334-1,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
334-1,2016,0,0.008258919735299,0.008258919735299,-2.08307675457792,1,100.0,NA,-2.08307675457792,16,16_334-1,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
336-1A,2014,0.05407761449765,2.33E-05,0.054100876466186,-1.26679569900906,0.000429973968163,0.0,-1.26698247448797,-4.63335353604668,14,14_336-1A,Shallow Millepora ,P.ele,15,Mixed,Cladocopium-dominated,0.000429973968163,Mixed,Cladocopium-dominated,1,Durusdinium-only,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
