Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Pan_Chiriqui,Uva Island,4x5,14,P.dam,2015,1,252-1,15_252-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2014,1,256-1,14_256-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2015,1,256-1,15_256-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2016,1,256-1,16_256-1,04/16/16,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2014,1,257-1,14_257-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2015,1,257-1,15_257-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2016,1,257-1,16_257-1,04/16/16,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2014,1,258-1,14_258-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2015,1,258-1,15_258-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2014,1,259-1,14_259-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2015,1,259-1,15_259-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2016,1,259-1,16_259-1,04/16/16,Not 259,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2014,1,260-1,14_260-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2015,1,260-1,15_260-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2016,1,260-1,16_260-1,04/16/16,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2014,1,262-1,14_262-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2015,1,262-1,15_262-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.dam,2016,1,262-1,16_262-1,04/16/16,,Shallow
